"Khu_vuc","Tong_Tieu_Thu_kWh","Tong_Cong_Suat_Thuy_Dien","Tong_Cong_Suat_Gio","Tong_Cong_Suat_Dia_Nhiet"
"Bắc Mỹ",5163,19297,1.746,86.687
"Châu Phi",401,2430,322,953
"Châu Âu",1980,9540.8,39.846,5469
"Châu Đại Dương",268,19520.4,8,1625
"Khác",3174,187982,1170.774,8283.9697
"Nam Mỹ",772,38585,1803.818,4288
"Nam Á",1527,3015,788,874
"Đông Nam Á",901,2400,6.05,8161
"Đông Á",9156,2400,871,1270
