"Khu_vuc","Tong_Tieu_Thu_kWh","Tong_Cong_Suat_Thuy_Dien","Tong_Cong_Suat_Gio","Tong_Cong_Suat_Dia_Nhiet"
"Bắc Mỹ",5163,12853,2.726,4718
"Châu Phi",401,9000,1.846,1288
"Châu Âu",1980,23801,1305.538,219
"Châu Đại Dương",268,17160,15.145,992
"Khác",3174,100907,1966.193,12018.687
"Nam Mỹ",772,28624,22.397,9565.9697
"Nam Á",1527,8050,871,53
"Đông Nam Á",901,13575,824,41
"Đông Á",9156,15955,2.389,2115
